canonical_source_id,source_type,volume_count,occurrences,administrations,item_kinds,path_text,volumes
department-of-state-washington-d-c-central-foreign-policy-fi-04c316a0,unpublished,6,6,carter,source,"Department of State, Washington, D.C. > Central Foreign Policy File. These files have been transferred or will be transferred to the National Archives and Records Administration in College Park, Maryland. > P Reels",frus1977-80v01; frus1977-80v02; frus1977-80v15; frus1977-80v24; frus1977-80v29; frus1977-80v30
jimmy-carter-library-atlanta-georgia-f637f2cc,unpublished,6,6,carter,container,"Jimmy Carter Library, Atlanta, Georgia",frus1977-80v01; frus1977-80v02; frus1977-80v17p1; frus1977-80v24; frus1977-80v27; frus1977-80v30
jimmy-carter-presidential-library-atlanta-georgia-national-s-43ca0ce5,unpublished,6,6,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs > Brzezinski Material > Cables File",frus1977-80v06; frus1977-80v11p1; frus1977-80v12; frus1977-80v15; frus1977-80v19; frus1977-80v21
jimmy-carter-presidential-library-atlanta-georgia-national-s-de9f4d1c,unpublished,6,6,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs > Brzezinski Material > General Odom File",frus1977-80v06; frus1977-80v11p1; frus1977-80v12; frus1977-80v15; frus1977-80v18; frus1977-80v26
jimmy-carter-presidential-library-atlanta-georgia-national-s-3f837781,unpublished,6,6,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs > Brzezinski Material > President’s Correspondence with Foreign Leaders File",frus1977-80v06; frus1977-80v15; frus1977-80v17p3; frus1977-80v19; frus1977-80v21; frus1977-80v26
jimmy-carter-presidential-library-atlanta-georgia-national-s-fca65d9e,unpublished,6,6,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs > Brzezinski Material > VIP Visit File",frus1977-80v06; frus1977-80v11p1; frus1977-80v12; frus1977-80v19; frus1977-80v21; frus1977-80v26
jimmy-carter-presidential-library-atlanta-georgia-presidenti-5d2d883c,unpublished,6,6,carter,container,"Jimmy Carter Presidential Library, Atlanta, Georgia > Presidential Materials",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v15; frus1977-80v16; frus1977-80v18; frus1977-80v21
jimmy-carter-presidential-library-atlanta-georgia-presidenti-30cc68f2,unpublished,6,6,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > Presidential Materials > President’s Daily Diary",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v15; frus1977-80v16; frus1977-80v18; frus1977-80v21
national-archives-and-record-administration-college-park-mar-afbfebf7,unpublished,6,6,carter,container,"National Archives and Record Administration, College Park, Maryland",frus1977-80v06; frus1977-80v15; frus1977-80v19; frus1977-80v21; frus1977-80v24; frus1977-80v26
national-security-council-carter-intelligence-files-ab6c759a,unpublished,6,6,carter; reagan,container; source,National Security Council > Carter Intelligence Files,frus1977-80v06; frus1977-80v11p1; frus1977-80v17p1; frus1977-80v28; frus1977-80v29; frus1981-88v04
central-intelligence-agency-history-staff-files-8ca11ac3,unpublished,5,5,carter; reagan,source,Central Intelligence Agency > History Staff Files,frus1977-80v12; frus1977-80v17p3; frus1981-88v04; frus1981-88v05; frus1981-88v38
central-intelligence-agency-office-of-congressional-affairs-6af068a0,unpublished,5,5,carter; reagan,container,Central Intelligence Agency > Office of Congressional Affairs,frus1977-80v02; frus1977-80v15; frus1977-80v23; frus1977-80v24; frus1981-88v04
department-of-state-washington-d-c-23947a1f,unpublished,5,5,carter,container,"Department of State, Washington D.C.",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v16; frus1977-80v18; frus1977-80v20
jimmy-carter-presidential-library-atlanta-georgia-national-s-a79e30c0,unpublished,5,5,carter,container,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Council",frus1977-80v15; frus1977-80v16; frus1977-80v17p3; frus1977-80v18; frus1977-80v21
jimmy-carter-presidential-library-atlanta-georgia-papers-of-576bdfec,unpublished,5,5,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > Papers of Walter F. Mondale",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v16; frus1977-80v18; frus1977-80v21
